Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
compare/mixed_optimised/scanl/conduit,4.721016195471388e-3,4.707514255060251e-3,4.736707405579771e-3,4.500017422150805e-5,3.258316137094458e-5,6.0204316972030723e-5
compare/mixed_optimised/scanl/piped,3.25396464221794e-3,3.245846890706098e-3,3.2733839744108857e-3,4.0153615742173056e-5,2.287977879129895e-5,7.359986375731576e-5
compare/mixed_optimised/filter_all/conduit,2.6898454783461146e-3,2.6809066700812937e-3,2.7069235951357965e-3,4.1405307146901575e-5,2.4074938966435055e-5,7.381202899946166e-5
compare/mixed_optimised/filter_all/piped,2.532515836687531e-3,2.5282235722205253e-3,2.5381124783260853e-3,1.6811983803685187e-5,1.2094042715067909e-5,2.5253951651831452e-5
compare/mixed_optimised/filter_none/conduit,3.8011073705225655e-3,3.7777434660707424e-3,3.8690610767222085e-3,1.1554516924435241e-4,4.434076810506748e-5,2.165568840895555e-4
compare/mixed_optimised/filter_none/piped,3.001494112569525e-3,2.995159878384546e-3,3.0105269242180033e-3,2.523108554586972e-5,1.8259767100317602e-5,3.342976369771688e-5
compare/mixed_optimised/sinklist/conduit,4.3626754527498505e-3,4.34599254091744e-3,4.388423896833805e-3,6.506780636237114e-5,4.45916683131344e-5,1.0477267807713999e-4
compare/mixed_optimised/sinklist/piped,3.983594839026141e-3,3.973478757791008e-3,3.9956735037258405e-3,3.5882058594528934e-5,2.7886427563212137e-5,5.001167787342869e-5
compare/mixed_optimised/sinknull/conduit,1.9269529084902427e-3,1.9211569464325682e-3,1.9364625671418737e-3,2.4274277878996524e-5,1.6645444340988775e-5,3.5715043510975374e-5
compare/mixed_optimised/sinknull/piped,1.9701437048543994e-3,1.9668698142015473e-3,1.973409902334729e-3,1.0919103481990461e-5,8.623615695564926e-6,1.4766304730999065e-5
compare/mixed_naive/map/conduit,3.3816574291997115e-3,3.370915059587308e-3,3.4008738074299697e-3,4.540117812505687e-5,2.710360338012237e-5,7.745811158017112e-5
compare/mixed_naive/map/piped,2.6566117182098693e-3,2.6527512641142566e-3,2.661516150331758e-3,1.552475755533011e-5,1.260995269813694e-5,1.9700721233992974e-5
compare/mixed_naive/foldl/conduit,3.3567335247346787e-3,3.3383500878903538e-3,3.4050764641176505e-3,9.365392810342372e-5,4.3574531084555714e-5,1.7799408101030556e-4
compare/mixed_naive/foldl/piped,3.146775091887487e-3,3.1345658078686003e-3,3.167519213493443e-3,5.106961426102021e-5,3.3362862230132375e-5,8.24020353138313e-5
compare/mixed_naive/takeall/conduit,4.529297027374079e-3,4.506643092323175e-3,4.569655944420235e-3,9.366597880576649e-5,6.096355185396808e-5,1.4002978386555684e-4
compare/mixed_naive/takeall/piped,3.335645592579136e-3,3.3108686775899093e-3,3.3757356939850595e-3,1.0246937379632465e-4,6.0418515486274844e-5,1.5540032565956454e-4
compare/mixed_naive/dropall/conduit,3.803076702972337e-3,3.7682329430938784e-3,3.8711581890100806e-3,1.545497664040586e-4,8.347790273673302e-5,3.0977603834818937e-4
compare/mixed_naive/dropall/piped,2.825442330075419e-3,2.819384043989991e-3,2.8358950953396946e-3,2.5262228314797305e-5,1.6226894211646634e-5,3.95409105725651e-5
compare/mixed_naive/scanl/conduit,4.520812023601099e-3,4.510694470980376e-3,4.529490731015044e-3,2.8849829405511273e-5,2.1897718248942405e-5,3.8231659581102186e-5
compare/mixed_naive/scanl/piped,3.7366411682179653e-3,3.729226796517051e-3,3.748940822274822e-3,3.0816826469248356e-5,1.9507873714086772e-5,4.5260243145769995e-5
compare/mixed_naive/filter_all/conduit,2.7809861279974347e-3,2.7765644950983e-3,2.788939166300879e-3,1.9125313936939078e-5,1.3423327358563024e-5,3.0826749233023766e-5
compare/mixed_naive/filter_all/piped,2.7202509551221853e-3,2.71074871705835e-3,2.7470989332360283e-3,4.764100708311136e-5,1.723561661713693e-5,9.196118340556711e-5
compare/mixed_naive/filter_none/conduit,3.8205998986815615e-3,3.8142241610517246e-3,3.830538336596595e-3,2.4854095465454433e-5,1.7148415732414696e-5,4.2323211601890166e-5
compare/mixed_naive/filter_none/piped,2.9679853175554427e-3,2.9619624052973532e-3,2.979378939892169e-3,2.445205593482491e-5,1.5068320761718251e-5,4.344006603694577e-5
compare/mixed_naive/sinklist/conduit,4.7954346158473465e-3,4.7766833630370235e-3,4.815489321952711e-3,5.94345652886102e-5,4.8164057834744536e-5,7.210527536344829e-5
compare/mixed_naive/sinklist/piped,4.62239698889756e-3,4.606095328614426e-3,4.643333429385892e-3,5.607733260372887e-5,4.1338760025762767e-5,7.508066066554554e-5
compare/mixed_naive/sinknull/conduit,1.9320028793580392e-3,1.928051499458176e-3,1.9473585076146013e-3,2.1628410708176924e-5,8.815479778323333e-6,4.7709427958376494e-5
compare/mixed_naive/sinknull/piped,1.9877560401068126e-3,1.981748906113221e-3,1.995781345280945e-3,2.275801528636441e-5,1.7042879264458494e-5,3.096625163901135e-5
